boat name,Fri Jun 6,Fri Jun 13,Fri Jun 20,Sat Jun 28,Fri Jul 4,Fri Jul 11,Sat Jul 19,Fri Jul 25,Fri Aug 1,Sat Aug 9,Fri Aug 15,Fri Aug 22,Sat Aug 30,Fri Sep 5,Fri Sep 12,Fri Sep 19,Fri Sep 26
Astraeus,,,,Y,,Y,,,Y,,,,,,,,Y
Beluga V,Y,Y,,Y,Y,Y,,Y,,Y,Y,,,Y,,Y,Y
Brisa,,,Y,,,Y,Y,Y,,,Y,Y,Y,Y,,,
Fixen,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Kaleidoscope,,,,,,,,,,Y,,,,,,,
Kookaburra,,,,,,,,,,,,Y,,Y,Y,Y,
Princess Fe,,Y,,,Y,,,Y,Y,,Y,Y,Y,,Y,Y,Y
Shawanaga,Y,Y,,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y
Sparrow,,Y,,,Y,,,,,,,,,,,,
Triton,,,Y,Y,,Y,,Y,,Y,Y,Y,,Y,,,
Tropical Quest,Y,Y,Y,,Y,,,Y,,,Y,,,Y,,Y,Y
Valkyrie,,Y,Y,,Y,,,Y,,,,,,Y,,,
Veleda III,Y,,Y,Y,Y,Y,,Y,,,,Y,,Y,Y,Y,Y
Xantippe,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y
Xel Ha,,,,,,Y,,Y,,Y,,,,Y,Y,Y,Y
Cariad,,,,,,,,,,,,,,,,,
