key,Fri Jun 6,Fri Jun 13,Fri Jun 20,Sat Jun 28,Fri Jul 4,Fri Jul 11,Sat Jul 19,Fri Jul 25,Fri Aug 1,Sat Aug 9,Fri Aug 15,Fri Aug 22,Sat Aug 30,Fri Sep 5,Fri Sep 12,Fri Sep 19,Fri Sep 26
cariad,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
valkyrie,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
xantippe,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
australis,,,,,,,,,,,,,,,,,
tropicalquest,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,Y,Y,Y,Y
shawanaga,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
xelha,Y,,Y,,,,,,,,Y,Y,,Y,Y,Y,Y
astraeus,,,,,Y,Y,,Y,,,,,,,,,
fixen,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
veledaiii,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pretender,,Y,,,,,,,,,,,,,,,
brisa,,,Y,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
