key,Fri Jun 6,Fri Jun 13,Fri Jun 20,Sat Jun 28,Fri Jul 4,Fri Jul 11,Sat Jul 19,Fri Jul 25,Fri Aug 1,Sat Aug 9,Fri Aug 15,Fri Aug 22,Sat Aug 30,Fri Sep 5,Fri Sep 12,Fri Sep 19,Fri Sep 26
astraeus,,,,Y,,Y,,,Y,,,,,,,,Y
belugav,Y,Y,,Y,Y,Y,,Y,,Y,Y,,,Y,,Y,Y
brisa,,,Y,,,Y,Y,Y,,,Y,Y,Y,Y,,,
kaleidoscope,,,,,,,,,,Y,,,,,,,
kookaburra,,,,,,,,,,,,Y,,Y,Y,Y,
princessfe,,Y,,,Y,,,Y,Y,,Y,Y,Y,,Y,Y,Y
shawanaga,Y,Y,,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y
sparrow,,Y,,,Y,,,,,,,,,,,,
triton,,,Y,Y,,Y,,Y,,Y,Y,Y,,Y,,,
valkyrie,,Y,Y,,Y,,,Y,,,,,,Y,,,
veledai,Y,,Y,Y,Y,Y,,Y,,,,Y,,Y,Y,Y,Y
xantippe,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y
xelha,,,,,,Y,,Y,,Y,,,,Y,Y,Y,Y
blackpearl,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y
tropicalquest,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
fixen,Y,Y,Y,,,,,,,,,,,,,,
cariad,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y
